epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,4960.39,0.34667,0.86287,0.48539,0.99077,0.73778,0.64819,0.74019,0.66638,0.72805,0.62737,0.72405,0.63252,0.59734,1.47,0.99674,1.45637,9.46715e-05,9.46715e-05,9.46715e-05
127,4997.31,0.31931,0.79992,0.44731,0.99925,0.77397,0.64108,0.76424,0.69089,0.74762,0.64171,0.74757,0.65474,0.57776,1.4497,0.99179,1.46522,9.25235e-05,9.25235e-05,9.25235e-05
128,5050.17,0.34043,0.87364,0.45036,1.00377,0.82022,0.65628,0.76036,0.68599,0.81072,0.65022,0.75031,0.65558,0.55471,1.45313,0.99534,1.44748,9.03901e-05,9.03901e-05,9.03901e-05
129,5081.66,0.3323,0.83838,0.4908,0.99116,0.79791,0.65894,0.76271,0.68737,0.7872,0.65297,0.75127,0.65357,0.56169,1.45048,1.03075,1.46324,8.82718e-05,8.82718e-05,8.82718e-05
130,5112.88,0.33643,0.8761,0.45995,0.98874,0.76232,0.69115,0.77413,0.69624,0.75816,0.68812,0.7654,0.65873,0.55176,1.40188,0.99596,1.45612,8.6169e-05,8.6169e-05,8.6169e-05
131,5174.85,0.339,0.94866,0.50681,1.00592,0.78277,0.69721,0.77698,0.69733,0.77833,0.69433,0.76569,0.66592,0.53845,1.30555,0.92087,1.44423,8.40824e-05,8.40824e-05,8.40824e-05
132,5201.42,0.31889,0.74872,0.44035,0.97426,0.81228,0.67123,0.78101,0.6992,0.74484,0.71178,0.76538,0.66407,0.54315,1.27647,0.91337,1.43202,8.20124e-05,8.20124e-05,8.20124e-05
133,5233.85,0.32256,0.73605,0.42952,0.97393,0.78102,0.71113,0.78862,0.70438,0.77109,0.70278,0.77434,0.66913,0.5494,1.26015,0.87446,1.43145,7.99596e-05,7.99596e-05,7.99596e-05
134,5266.58,0.29302,0.72082,0.41824,0.94704,0.81719,0.69583,0.78639,0.70233,0.80547,0.68723,0.77293,0.67382,0.56233,1.26124,0.89971,1.44552,7.79244e-05,7.79244e-05,7.79244e-05
135,5299.53,0.28888,0.75768,0.38002,0.9559,0.79323,0.70267,0.78794,0.70305,0.78278,0.69406,0.77208,0.67576,0.56156,1.27421,0.92334,1.44285,7.59073e-05,7.59073e-05,7.59073e-05
136,5326.44,0.31885,0.77266,0.4178,0.97798,0.81889,0.68091,0.78394,0.69788,0.80577,0.67247,0.76867,0.67036,0.54821,1.30229,0.93422,1.41575,7.3909e-05,7.3909e-05,7.3909e-05
137,5358.78,0.30452,0.70072,0.42105,0.9681,0.76727,0.70609,0.7769,0.69202,0.73077,0.69861,0.75834,0.66401,0.54607,1.32078,0.96004,1.38493,7.19297e-05,7.19297e-05,7.19297e-05
138,5420.67,0.3107,0.71399,0.43274,0.97888,0.76856,0.68297,0.77476,0.69921,0.74502,0.67886,0.76086,0.66572,0.55094,1.35014,0.98508,1.37271,6.99701e-05,6.99701e-05,6.99701e-05
139,5452.58,0.34776,0.93648,0.4574,1.00536,0.75181,0.67738,0.76875,0.69562,0.72796,0.67672,0.75614,0.66706,0.55439,1.36982,0.98167,1.38329,6.80306e-05,6.80306e-05,6.80306e-05
140,5526,0.30105,0.72326,0.38652,0.96263,0.80772,0.67699,0.77512,0.70015,0.79506,0.66926,0.76343,0.6735,0.54181,1.3745,0.93002,1.34279,6.61117e-05,6.61117e-05,6.61117e-05
141,5552.31,0.31395,0.66847,0.39109,0.97754,0.82297,0.68072,0.7826,0.70605,0.8158,0.67601,0.7748,0.67982,0.53618,1.36048,0.89272,1.29894,6.42139e-05,6.42139e-05,6.42139e-05
142,5617.75,0.30084,0.71119,0.44863,0.96195,0.8511,0.67864,0.79063,0.70865,0.84048,0.67399,0.78174,0.68496,0.55131,1.35176,0.88441,1.31748,6.23376e-05,6.23376e-05,6.23376e-05
143,5648.87,0.28825,0.70905,0.41417,0.94436,0.79447,0.73019,0.78849,0.70585,0.77569,0.71857,0.77192,0.68293,0.54813,1.34294,0.88265,1.37113,6.04833e-05,6.04833e-05,6.04833e-05
144,5680.19,0.31287,0.8004,0.40995,0.96613,0.76683,0.75653,0.78376,0.70847,0.74976,0.74576,0.76578,0.68133,0.53489,1.32623,0.89456,1.39591,5.86515e-05,5.86515e-05,5.86515e-05
145,5712.75,0.32627,0.79102,0.43316,0.97456,0.8262,0.72028,0.77755,0.70288,0.80793,0.70816,0.75851,0.67701,0.54037,1.33585,0.90935,1.40866,5.68425e-05,5.68425e-05,5.68425e-05
146,5745.68,0.3199,0.73239,0.43757,0.96405,0.83409,0.70822,0.7829,0.70835,0.82271,0.69334,0.77194,0.68442,0.55813,1.31407,0.92287,1.43842,5.5057e-05,5.5057e-05,5.5057e-05
147,5778.46,0.32473,0.81323,0.43672,0.99248,0.84291,0.68069,0.78473,0.71227,0.84498,0.67231,0.77478,0.69012,0.55478,1.34113,0.92938,1.44,5.32952e-05,5.32952e-05,5.32952e-05
148,5809.47,0.30674,0.71016,0.40241,0.97014,0.84925,0.698,0.79013,0.72035,0.83623,0.68915,0.77978,0.69451,0.54614,1.42058,0.93153,1.43637,5.15576e-05,5.15576e-05,5.15576e-05
149,5846.76,0.29332,0.66355,0.4026,0.96063,0.84308,0.68863,0.7956,0.72116,0.82965,0.67965,0.78327,0.69918,0.53389,1.46041,0.93231,1.42631,4.98448e-05,4.98448e-05,4.98448e-05
150,5880.2,0.28373,0.60384,0.38127,0.96312,0.81044,0.69725,0.80114,0.7294,0.8024,0.69254,0.7892,0.70328,0.54581,1.45562,0.91633,1.43098,4.81569e-05,4.81569e-05,4.81569e-05
151,5948.01,0.31887,0.7554,0.38542,0.96682,0.75235,0.73864,0.79752,0.72403,0.74565,0.73393,0.78576,0.70097,0.54497,1.43017,0.90479,1.41925,4.64946e-05,4.64946e-05,4.64946e-05
152,5980.81,0.30083,0.6717,0.34693,0.95669,0.80218,0.7113,0.79386,0.72062,0.74798,0.73777,0.78076,0.69612,0.53743,1.42099,0.8934,1.39491,4.48582e-05,4.48582e-05,4.48582e-05
153,6017.49,0.31327,0.78781,0.39846,0.97531,0.76355,0.74665,0.7914,0.72511,0.75781,0.74208,0.78056,0.69066,0.53188,1.39295,0.89598,1.37686,4.32482e-05,4.32482e-05,4.32482e-05
154,6044.42,0.29012,0.64077,0.34194,0.95848,0.76016,0.74082,0.78528,0.71884,0.75456,0.73611,0.77416,0.68213,0.52423,1.37152,0.89591,1.38846,4.16648e-05,4.16648e-05,4.16648e-05
155,6077.74,0.30736,0.71353,0.37675,0.96688,0.7787,0.71746,0.78035,0.71591,0.76372,0.70426,0.76361,0.67853,0.52077,1.34011,0.92009,1.37876,4.01085e-05,4.01085e-05,4.01085e-05
156,6110.59,0.28129,0.71482,0.33481,0.936,0.73165,0.7229,0.77159,0.70882,0.72549,0.71847,0.75717,0.67014,0.52796,1.342,0.95804,1.39019,3.85797e-05,3.85797e-05,3.85797e-05
157,6141.32,0.28426,0.69732,0.39016,0.95767,0.75495,0.70986,0.77237,0.70524,0.75128,0.7083,0.76412,0.66836,0.53508,1.35354,0.97146,1.40755,3.70788e-05,3.70788e-05,3.70788e-05
158,6174.13,0.29482,0.67965,0.37952,0.96494,0.75267,0.71235,0.77117,0.70156,0.74978,0.71068,0.76168,0.66544,0.54438,1.3593,0.97416,1.41594,3.56061e-05,3.56061e-05,3.56061e-05
159,6206.67,0.28666,0.71242,0.35466,0.95397,0.80089,0.68521,0.77169,0.69747,0.79741,0.68361,0.76224,0.66395,0.5496,1.36378,0.97187,1.42378,3.4162e-05,3.4162e-05,3.4162e-05
160,6239.77,0.27266,0.65761,0.37708,0.93622,0.75905,0.72291,0.77212,0.69917,0.75495,0.71758,0.76588,0.67089,0.53884,1.36475,0.96222,1.39953,3.27468e-05,3.27468e-05,3.27468e-05
161,6303.86,0.28425,0.66256,0.3815,0.96203,0.75444,0.73113,0.77146,0.70179,0.75217,0.73023,0.76637,0.67246,0.53396,1.36829,0.9628,1.38675,3.1361e-05,3.1361e-05,3.1361e-05
162,6369.91,0.29181,0.73463,0.36058,0.96646,0.74996,0.74574,0.77063,0.70287,0.74763,0.74429,0.76384,0.67347,0.52431,1.36819,0.95993,1.35927,3.00048e-05,3.00048e-05,3.00048e-05
163,6395.85,0.28747,0.74628,0.38957,0.94696,0.74976,0.75215,0.77637,0.70595,0.74315,0.74609,0.76561,0.6771,0.52198,1.35662,0.95518,1.3357,2.86785e-05,2.86785e-05,2.86785e-05
164,6427.8,0.31145,0.77526,0.3701,0.97144,0.75788,0.73748,0.77969,0.7107,0.75029,0.73151,0.76902,0.68206,0.52247,1.34741,0.943,1.27536,2.73826e-05,2.73826e-05,2.73826e-05
165,6454.19,0.28501,0.65031,0.34003,0.95151,0.8087,0.70415,0.77965,0.71176,0.7932,0.70339,0.7695,0.68317,0.50963,1.34655,0.93597,1.19896,2.61173e-05,2.61173e-05,2.61173e-05
166,6518.46,0.25413,0.54846,0.30681,0.94034,0.79761,0.71456,0.78101,0.71443,0.74727,0.73473,0.76766,0.68335,0.45819,1.34837,0.93565,1.11034,2.48829e-05,2.48829e-05,2.48829e-05
167,6545.48,0.26311,0.60719,0.33737,0.93383,0.77668,0.73658,0.78508,0.71449,0.75545,0.72537,0.76838,0.68199,0.42572,1.35613,0.9313,1.09002,2.36798e-05,2.36798e-05,2.36798e-05
168,6577.64,0.27395,0.64285,0.32233,0.9484,0.81998,0.68669,0.78458,0.71736,0.72358,0.75131,0.77237,0.68581,0.40996,1.36201,0.94489,1.08245,2.25082e-05,2.25082e-05,2.25082e-05
169,6608.76,0.28434,0.76298,0.37514,0.95558,0.80067,0.70097,0.78355,0.7156,0.79242,0.69627,0.77421,0.68626,0.39674,1.35768,0.93989,1.07615,2.13685e-05,2.13685e-05,2.13685e-05
170,6679.22,0.28814,0.67947,0.3608,0.95601,0.7742,0.70613,0.78307,0.71347,0.76571,0.70158,0.77247,0.6837,0.43216,1.34691,0.95965,1.09933,2.02608e-05,2.02608e-05,2.02608e-05
171,6705.56,0.31924,0.80392,0.42513,0.98508,0.77067,0.70394,0.78275,0.7175,0.76698,0.70227,0.77594,0.68714,0.47802,1.34331,0.95424,1.14855,1.91855e-05,1.91855e-05,1.91855e-05
172,6742.78,0.2788,0.64459,0.31974,0.94443,0.76822,0.71719,0.78247,0.71377,0.76056,0.71249,0.77017,0.68464,0.50807,1.34214,0.95059,1.20874,1.81429e-05,1.81429e-05,1.81429e-05
173,6769.43,0.27369,0.59563,0.34495,0.9415,0.77473,0.72042,0.78218,0.71282,0.76711,0.71572,0.77086,0.68628,0.51429,1.35156,0.94668,1.23943,1.71332e-05,1.71332e-05,1.71332e-05
174,6832.31,0.28547,0.72104,0.33994,0.94635,0.79201,0.72092,0.78374,0.71419,0.78076,0.71253,0.77055,0.68646,0.50788,1.34163,0.94034,1.20627,1.61566e-05,1.61566e-05,1.61566e-05
175,6862.08,0.28739,0.70434,0.34926,0.95766,0.80962,0.70665,0.78531,0.71467,0.79703,0.69895,0.77279,0.68766,0.50066,1.32942,0.92622,1.18643,1.52134e-05,1.52134e-05,1.52134e-05
176,6888.44,0.27727,0.59959,0.35476,0.93044,0.80541,0.70857,0.78421,0.71464,0.80207,0.69094,0.77103,0.68659,0.4681,1.32321,0.90552,1.11755,1.43039e-05,1.43039e-05,1.43039e-05
177,6919.97,0.28041,0.65166,0.33678,0.95943,0.76134,0.74611,0.78525,0.71592,0.8152,0.68658,0.77617,0.68652,0.4471,1.31661,0.89342,1.09731,1.34282e-05,1.34282e-05,1.34282e-05
178,6950.62,0.28092,0.70984,0.3439,0.95299,0.78497,0.72128,0.78023,0.71374,0.77704,0.71688,0.77333,0.68385,0.44509,1.31938,0.89926,1.09742,1.25866e-05,1.25866e-05,1.25866e-05
179,6983.41,0.26068,0.58812,0.28184,0.95074,0.78266,0.71807,0.77952,0.71522,0.77264,0.71204,0.77089,0.68353,0.47101,1.32127,0.90616,1.12196,1.17792e-05,1.17792e-05,1.17792e-05
180,7016.25,0.26493,0.64887,0.34312,0.95456,0.78915,0.71826,0.77914,0.71284,0.77644,0.71695,0.77077,0.68334,0.50753,1.33066,0.91501,1.2102,1.10063e-05,1.10063e-05,1.10063e-05
181,7078.01,0.25641,0.61264,0.31295,0.94317,0.79273,0.71033,0.7777,0.71284,0.78088,0.70811,0.76912,0.68157,0.51151,1.33849,0.92142,1.23832,1.02681e-05,1.02681e-05,1.02681e-05
182,7114.81,0.27156,0.60706,0.32266,0.94759,0.7852,0.73087,0.78343,0.71217,0.76359,0.71716,0.76892,0.68135,0.51618,1.34573,0.92401,1.29236,9.56474e-06,9.56474e-06,9.56474e-06
183,7147.26,0.25407,0.53558,0.27801,0.93139,0.76936,0.72899,0.7817,0.7105,0.75764,0.72002,0.76801,0.68081,0.51735,1.34989,0.92946,1.30008,8.89639e-06,8.89639e-06,8.89639e-06
184,7217.75,0.32056,0.82197,0.4108,0.97466,0.75,0.72574,0.77727,0.71153,0.75449,0.72201,0.7687,0.68314,0.51884,1.36086,0.93667,1.3011,8.26322e-06,8.26322e-06,8.26322e-06
185,7244.06,0.28555,0.72141,0.33141,0.96565,0.75043,0.73091,0.77744,0.71117,0.75727,0.72343,0.76759,0.68123,0.51628,1.36166,0.93485,1.30409,7.6654e-06,7.6654e-06,7.6654e-06
186,7276.21,0.2709,0.7207,0.32601,0.95255,0.75516,0.73656,0.77662,0.71084,0.75846,0.72408,0.76626,0.67837,0.5162,1.36128,0.93109,1.27076,7.10307e-06,7.10307e-06,7.10307e-06
187,7308.7,0.26855,0.61592,0.3161,0.94318,0.76395,0.74001,0.77447,0.70775,0.75393,0.73238,0.76352,0.67379,0.5179,1.35983,0.93135,1.27333,6.57636e-06,6.57636e-06,6.57636e-06
188,7339.8,0.28978,0.70062,0.33174,0.96063,0.78802,0.71843,0.77697,0.70962,0.7943,0.69436,0.76345,0.67448,0.52259,1.36362,0.92904,1.30058,6.08541e-06,6.08541e-06,6.08541e-06
189,7399.17,0.24978,0.60069,0.30783,0.92702,0.80766,0.71354,0.77945,0.71371,0.80053,0.70431,0.7692,0.67591,0.5225,1.36386,0.91862,1.31017,5.63034e-06,5.63034e-06,5.63034e-06
190,7431.68,0.27262,0.78286,0.35218,0.95256,0.76461,0.7546,0.77785,0.71062,0.75261,0.74467,0.76735,0.67266,0.52227,1.36899,0.9111,1.26924,5.21127e-06,5.21127e-06,5.21127e-06
191,7464.17,0.13346,0.31208,0.13669,0.85094,0.76141,0.75171,0.77267,0.70564,0.74906,0.74307,0.76216,0.6654,0.52351,1.37754,0.92044,1.27797,4.82828e-06,4.82828e-06,4.82828e-06
192,7495.03,0.13489,0.32479,0.13551,0.87394,0.76795,0.73133,0.76728,0.70068,0.75512,0.71847,0.75374,0.66245,0.52486,1.39217,0.93829,1.28718,4.48149e-06,4.48149e-06,4.48149e-06
193,7526.61,0.12546,0.33649,0.1354,0.85944,0.79157,0.7161,0.76624,0.70085,0.7791,0.7027,0.7502,0.66102,0.52525,1.40185,0.93887,1.28478,4.17097e-06,4.17097e-06,4.17097e-06
194,7588.16,0.12379,0.31919,0.13806,0.86175,0.7844,0.71721,0.76376,0.69753,0.77193,0.70392,0.75031,0.66011,0.52544,1.41592,0.94594,1.29716,3.8968e-06,3.8968e-06,3.8968e-06
195,7620.04,0.13825,0.35484,0.14646,0.86231,0.79051,0.71326,0.76065,0.69421,0.77806,0.69986,0.74467,0.65667,0.5256,1.42227,0.94895,1.31015,3.65905e-06,3.65905e-06,3.65905e-06
196,7650.91,0.12458,0.32116,0.12857,0.8527,0.77779,0.72464,0.76486,0.69656,0.76476,0.71303,0.75141,0.66108,0.52197,1.42569,0.93971,1.31673,3.45778e-06,3.45778e-06,3.45778e-06
197,7681.92,0.12937,0.32135,0.13443,0.85918,0.79261,0.72249,0.7658,0.69766,0.77948,0.71087,0.75215,0.66304,0.52302,1.4247,0.94264,1.32308,3.29303e-06,3.29303e-06,3.29303e-06
198,7708.31,0.12861,0.36499,0.12708,0.8641,0.77177,0.73193,0.76634,0.69999,0.76414,0.7247,0.75478,0.66512,0.52213,1.42453,0.93626,1.32421,3.16485e-06,3.16485e-06,3.16485e-06
199,7734.19,0.12244,0.31439,0.11928,0.86199,0.78866,0.72648,0.76733,0.7016,0.78097,0.71925,0.75588,0.66682,0.52235,1.41738,0.93645,1.32734,3.07328e-06,3.07328e-06,3.07328e-06
200,7766.27,0.12212,0.29389,0.12919,0.86783,0.77698,0.73463,0.76858,0.70191,0.76909,0.72919,0.75679,0.6675,0.52361,1.41855,0.93422,1.33552,3.01832e-06,3.01832e-06,3.01832e-06
