epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1099.91,0.56311,1.29477,1.04924,1.15325,0.64139,0.61487,0.63709,0.53857,0.55399,0.65178,0.61359,0.50389,0.71316,1.51411,1.43047,1.45064,0.000284857,0.000284857,0.000284857
31,1160.88,0.5409,1.34754,1.0077,1.12884,0.67211,0.60268,0.67624,0.56085,0.61984,0.62619,0.65895,0.5482,0.69596,1.31678,1.31749,1.45577,0.000283814,0.000283814,0.000283814
32,1198.71,0.55097,1.24929,1.03398,1.15287,0.68882,0.67439,0.70202,0.57909,0.68755,0.67369,0.69907,0.5761,0.73948,1.51632,1.23558,1.45818,0.000282739,0.000282739,0.000282739
33,1267.46,0.57934,1.53281,0.99995,1.18857,0.7146,0.6081,0.68846,0.58035,0.70369,0.59908,0.66729,0.56208,0.71642,1.56352,1.23666,1.5626,0.000281632,0.000281632,0.000281632
34,1298.82,0.54271,1.21963,1.04281,1.14267,0.62736,0.59381,0.64331,0.54548,0.61467,0.58788,0.62689,0.52855,0.7189,1.57016,1.36822,1.50977,0.000280492,0.000280492,0.000280492
35,1330.96,0.60224,1.37023,1.12932,1.18568,0.76967,0.59477,0.70667,0.60577,0.75497,0.5799,0.68348,0.58386,0.70128,1.45483,1.12752,1.47194,0.00027932,0.00027932,0.00027932
36,1358.83,0.54048,1.31352,0.93283,1.14556,0.70961,0.58456,0.67718,0.56343,0.6728,0.56798,0.63827,0.52023,0.64127,1.80478,1.31575,1.35596,0.000278117,0.000278117,0.000278117
37,1391.35,0.54377,1.38111,0.93097,1.15299,0.75158,0.61247,0.68573,0.57834,0.73822,0.60155,0.66298,0.56915,0.69648,1.41041,1.23425,1.48843,0.000276883,0.000276883,0.000276883
38,1423.35,0.54867,1.28631,1.00521,1.15914,0.62716,0.68218,0.67858,0.57761,0.60627,0.68002,0.65943,0.55064,0.66451,1.42724,1.23023,1.39026,0.000275617,0.000275617,0.000275617
39,1500.72,0.52816,1.2171,0.90503,1.14951,0.70153,0.65713,0.69671,0.57805,0.69865,0.65575,0.68701,0.57054,0.7215,1.3414,1.19426,1.39994,0.000274321,0.000274321,0.000274321
40,1526.88,0.59367,1.38604,0.92672,1.16694,0.71759,0.66058,0.71729,0.60963,0.72821,0.62427,0.69557,0.57646,0.6935,1.41533,1.25209,1.48486,0.000272995,0.000272995,0.000272995
41,1559.44,0.51942,1.1953,0.94573,1.12087,0.62842,0.68233,0.68958,0.57458,0.61393,0.67407,0.66624,0.56366,0.7243,1.37314,1.35056,1.47868,0.000271639,0.000271639,0.000271639
42,1626.6,0.56309,1.26204,0.97702,1.1667,0.62771,0.71223,0.69745,0.59309,0.62186,0.70314,0.67232,0.57064,0.6295,1.41932,1.62669,1.31941,0.000270253,0.000270253,0.000270253
43,1656.39,0.53384,1.13545,0.9207,1.12546,0.70329,0.67194,0.70047,0.59165,0.69765,0.66618,0.68673,0.59637,0.7027,1.42745,1.36301,1.40386,0.000268838,0.000268838,0.000268838
44,1689.05,0.48886,1.16383,0.87598,1.09822,0.71092,0.65308,0.699,0.60907,0.69523,0.64399,0.68425,0.59678,0.62878,1.36289,1.25839,1.44819,0.000267394,0.000267394,0.000267394
45,1745.22,0.51003,1.24608,0.9534,1.11239,0.72115,0.64488,0.70051,0.59847,0.71206,0.63894,0.68387,0.58929,0.60388,1.45792,1.52945,1.19974,0.000265921,0.000265921,0.000265921
46,1772.61,0.48407,1.1507,0.81836,1.10356,0.6561,0.7158,0.72077,0.62946,0.64537,0.70118,0.69763,0.59093,0.65779,1.46692,1.25577,1.40282,0.00026442,0.00026442,0.00026442
47,1842.37,0.52221,1.34343,0.89566,1.12594,0.64732,0.72925,0.71471,0.61938,0.64255,0.71298,0.69783,0.57549,0.69358,1.5353,1.4195,1.47276,0.000262891,0.000262891,0.000262891
48,1906.69,0.51783,1.31962,0.89319,1.1156,0.57432,0.56179,0.57192,0.47836,0.60505,0.54426,0.56071,0.45058,0.72884,1.79779,1.80181,1.56919,0.000261335,0.000261335,0.000261335
49,1938.99,0.51001,1.16977,0.88447,1.1347,0.65738,0.63403,0.65232,0.54672,0.66964,0.61164,0.63548,0.52689,0.66684,1.47119,1.38629,1.51547,0.000259752,0.000259752,0.000259752
50,1971.72,0.49035,1.19146,0.7906,1.10852,0.70895,0.62775,0.70954,0.60783,0.70059,0.6217,0.69226,0.57934,0.67914,1.35555,1.25331,1.38616,0.000258142,0.000258142,0.000258142
51,2002.71,0.50326,1.1439,0.89188,1.11064,0.67403,0.65012,0.66721,0.58022,0.66143,0.64354,0.65696,0.5512,0.66419,1.41691,1.68609,1.48647,0.000256505,0.000256505,0.000256505
52,2035.87,0.47061,1.06772,0.83148,1.07989,0.58324,0.70143,0.67895,0.5965,0.57598,0.69005,0.66793,0.56811,0.68566,1.44744,1.64672,1.48686,0.000254843,0.000254843,0.000254843
53,2102.65,0.50487,1.22205,0.78462,1.1149,0.68849,0.68006,0.71919,0.62586,0.68255,0.67412,0.70686,0.58157,0.6941,1.61889,1.41215,1.41546,0.000253155,0.000253155,0.000253155
54,2129.35,0.46455,1.1219,0.78937,1.08301,0.61452,0.66246,0.65932,0.56963,0.60386,0.65393,0.63839,0.51952,0.67225,1.56682,1.50013,1.37723,0.000251442,0.000251442,0.000251442
55,2161.07,0.53923,1.27713,0.84804,1.16333,0.64385,0.6903,0.69652,0.60163,0.62805,0.67853,0.67459,0.55867,0.67893,1.42553,1.25125,1.40911,0.000249705,0.000249705,0.000249705
56,2223.7,0.46535,1.15443,0.77389,1.08724,0.7385,0.65195,0.75496,0.65517,0.72498,0.64111,0.73686,0.63321,0.66131,1.34973,1.07315,1.4527,0.000247943,0.000247943,0.000247943
57,2260.6,0.51933,1.29593,0.87455,1.13707,0.71171,0.67746,0.73747,0.64318,0.76807,0.62746,0.72181,0.6193,0.66391,1.32908,1.07544,1.48647,0.000246157,0.000246157,0.000246157
58,2327.96,0.47805,1.17433,0.75868,1.09075,0.73877,0.62546,0.69427,0.61149,0.73843,0.62712,0.68836,0.59332,0.61535,1.27535,1.52793,1.49068,0.000244349,0.000244349,0.000244349
59,2353.91,0.46812,1.16358,0.8021,1.08609,0.69482,0.67194,0.72323,0.62225,0.68602,0.6558,0.7113,0.59609,0.66135,1.41936,1.63276,1.4914,0.000242517,0.000242517,0.000242517
60,2386.06,0.44608,1.00874,0.71938,1.0604,0.68622,0.70512,0.74053,0.65916,0.67777,0.69779,0.72,0.6201,0.62484,1.49174,1.43362,1.41783,0.000240662,0.000240662,0.000240662
61,2419.05,0.44585,1.09762,0.65123,1.04042,0.71463,0.71843,0.73433,0.63433,0.71506,0.72009,0.72665,0.61837,0.65871,1.30918,1.50785,1.54988,0.000238786,0.000238786,0.000238786
62,2486.47,0.48174,1.02192,0.76883,1.08041,0.6832,0.6875,0.69204,0.58877,0.68458,0.673,0.68103,0.57397,0.71179,1.3393,1.20227,1.50632,0.000236888,0.000236888,0.000236888
63,2518.82,0.51693,1.20348,0.83523,1.11932,0.67516,0.71789,0.71609,0.61911,0.66608,0.70183,0.6946,0.59283,0.66672,1.32419,1.10559,1.43803,0.000234969,0.000234969,0.000234969
64,2549.99,0.46667,1.18311,0.75222,1.09074,0.69106,0.68785,0.71793,0.61578,0.68582,0.68405,0.70099,0.60039,0.67629,1.33922,1.12779,1.38664,0.00023303,0.00023303,0.00023303
65,2582.51,0.45149,1.10501,0.74633,1.07328,0.67042,0.68361,0.71488,0.61842,0.6607,0.67643,0.69291,0.58426,0.65549,1.36324,1.55848,1.42914,0.00023107,0.00023107,0.00023107
66,2639.74,0.47854,1.17429,0.72828,1.08436,0.63764,0.71174,0.71724,0.62617,0.6265,0.70097,0.69592,0.59012,0.63152,1.45756,1.45372,1.42738,0.000229091,0.000229091,0.000229091
67,2672.49,0.45136,1.09548,0.71515,1.08289,0.67131,0.69142,0.71683,0.6222,0.65309,0.67678,0.68894,0.58746,0.63403,1.49919,1.13827,1.38626,0.000227093,0.000227093,0.000227093
68,2703.64,0.4208,0.95137,0.68518,1.06063,0.63521,0.69577,0.69319,0.60687,0.70247,0.62122,0.6669,0.55299,0.60735,1.46685,1.1782,1.40244,0.000225076,0.000225076,0.000225076
69,2736.86,0.43767,1.1434,0.73434,1.06833,0.74293,0.64196,0.69904,0.6132,0.73842,0.62969,0.67558,0.56661,0.64885,1.44601,1.12878,1.41581,0.00022304,0.00022304,0.00022304
70,2767.54,0.46506,1.11641,0.78092,1.0863,0.70179,0.64933,0.69896,0.6141,0.68766,0.64384,0.68139,0.57692,0.64254,1.38974,1.07814,1.45846,0.000220988,0.000220988,0.000220988
71,2798.43,0.44736,1.10348,0.71261,1.06228,0.75514,0.61603,0.72404,0.62308,0.74865,0.62296,0.71314,0.59678,0.65072,1.35901,1.11911,1.45421,0.000218918,0.000218918,0.000218918
72,2831.27,0.45718,1.19111,0.80909,1.07864,0.73751,0.63477,0.73388,0.64602,0.71912,0.62195,0.71074,0.61974,0.59343,1.3092,1.09259,1.38969,0.000216831,0.000216831,0.000216831
73,2863.75,0.43032,1.07634,0.70102,1.04644,0.64001,0.71361,0.7232,0.63318,0.63151,0.6983,0.70253,0.61053,0.60746,1.34787,1.11858,1.42817,0.000214728,0.000214728,0.000214728
74,2896.83,0.44389,1.02637,0.70176,1.069,0.69779,0.70489,0.74187,0.64573,0.68286,0.68973,0.71829,0.62672,0.62488,1.51322,1.0196,1.46708,0.00021261,0.00021261,0.00021261
75,2929.53,0.4593,1.04384,0.64934,1.053,0.73196,0.69275,0.72638,0.64293,0.73193,0.66744,0.70887,0.61739,0.60634,1.50225,1.60689,1.4636,0.000210476,0.000210476,0.000210476
76,2962.44,0.42562,0.95581,0.64081,1.07483,0.73732,0.63556,0.71257,0.62739,0.7216,0.62389,0.69063,0.59813,0.62199,1.39923,1.64893,1.46958,0.000208328,0.000208328,0.000208328
